name,token,normalizedName
Lic Mf Rgess Fund Series -3- Regular Plan -dividend Payout Option,538958,lic mf rgess fund series 3 regular plan dividend payout option
Lic Mf Rgess Fund Series -3 -direct Plan -growth Option,538959,lic mf rgess fund series 3 direct plan growth option
Lic Mf Rgess Fund Series- 3 -direct Plan -dividend Payout Option,538960,lic mf rgess fund series 3 direct plan dividend payout option
Genus Paper & Boards Ltd,538961,genus paper boards
Minda Corporation Ltd,538962,minda corporation
Pact Industries Ltd,538963,pact
Mercury Laboratories Ltd,538964,mercury laboratories
Concord Drugs Ltd,538965,concord drugs
Wardwizard Innovations & Mobility Ltd,538970,wardwizard innovations mobility
Shree Securities Ltd,538975,shree securities
Greenlam Industries Ltd,538979,greenlam
Hdfc Focused Equity Fund Plan A - Direct Option- Growth Option,538980,hdfc focused equity fund plan a direct option growth option
Hdfc Focused Equity Fund Plan A - Direct Option- Dividend Option,538981,hdfc focused equity fund plan a direct option dividend option
HDFC Focused Equity Fund Plan A-Regular Option- Growth Option,538982,hdfc focused equity fund plan a regular option growth option
HDFC Focused Equity Fund Plan A-Regular Option - Dividend Option,538983,hdfc focused equity fund plan a regular option dividend option
Talbros Engineering Ltd,538987,talbros engineering
SAR Auto Products Ltd,538992,sar auto products
Purohit Construction Ltd,538993,purohit construction
Jayatma Enterprises Ltd,539005,jayatma enterprises
PTC Industries Ltd,539006,ptc
Pincon Lifestyle Ltd,539007,pincon lifestyle
Tirupati Fincorp Ltd,539008,tirupati fincorp
GBL Industries Ltd,539009,gbl
Shri Mahalaxmi Agricultural Development Ltd,539010,shri mahalaxmi agricultural development
Chennai Ferrous Industries Ltd,539011,chennai ferrous
Megri Soft Ltd,539012,megri soft
Gita Renewable Energy Ltd,539013,gita renewable energy
Kalpa Commercial Ltd,539014,kalpa commercial
Ortel Communications Ltd,539015,ortel communications
Neil Industries Ltd,539016,neil
Star Housing Finance Ltd,539017,star housing finance
Beekay Steel Industries Ltd,539018,beekay steel
SSPN Finance Ltd,539026,sspn finance
SBI Mutual Fund - SBI - ETF BSE 100,539031,sbi mutual fund sbi etf bse 100
Fraser and Company Ltd,539032,fraser and
Tirupati Tyres Ltd,539040,tirupati tyres
SVP Housing Ltd,539041,svp housing
AGI Infra Ltd,539042,agi infra
BKM Industries Ltd,539043,bkm
Manaksia Steels Ltd,539044,manaksia steels
Manaksia Aluminium Company Ltd,539045,manaksia aluminium
Manaksia Coated Metals & Industries Ltd,539046,manaksia coated metals
Aditya Birla Sun Life FOCUSED EQUITY FUND - SERIES 5 REGULAR GROWTH,539052,aditya birla sun life focused equity fund series 5 regular growth
Aditya Birla Sun Life FOCUSED EQUITY FUND - SERIES 5 REGULAR DIVIDEND,539053,aditya birla sun life focused equity fund series 5 regular dividend
Aditya Birla Sun Life Focused Equity Fund - Series 5 Direct Growth,539054,aditya birla sun life focused equity fund series 5 direct growth
Aditya Birla Sun Life Focused Equity Fund - Series 5 Direct Dividend,539055,aditya birla sun life focused equity fund series 5 direct dividend
Imagicaaworld Entertainment Ltd,539056,imagicaaworld entertainment
Reliance Capital Builder Fund II - Series C - Direct Plan Dividend Payout Option,539063,reliance capital builder fund ii series c direct plan dividend payout option
Reliance Capital Builder Fund Ii - Series C - Direct Plan Growth Option,539065,reliance capital builder fund ii series c direct plan growth option
Reliance Capital Builder Fund Ii - Series C - Dividend Payout Option,539067,reliance capital builder fund ii series c dividend payout option
Reliance Capital Builder Fund II - Series C -  Growth Option,539070,reliance capital builder fund ii series c growth option
Inox Wind Ltd,539083,inox wind
Icici Prudential India Recovery Fund - Series 1 (regular Plan - Dividend Payout Option),539084,icici prudential india recovery fund series 1 regular plan dividend payout option
Icici Prudential India Recovery Fund - Series 1 (direct Plan - Dividend Payout Option),539085,icici prudential india recovery fund series 1 direct plan dividend payout option
